"A̱o";"Mes";"Exportaciones";"Importaciones";"Saldo comercial"
"2002";"1";"1817821769";"850579913";"967241856"
"2002";"2";"1781933597";"627759578";"1154174019"
"2002";"3";"2112397988";"592890030";"1519507958"
"2002";"4";"2181683896";"612000097";"1569683799"
"2002";"5";"2369474217";"861772801";"1507701416"
"2002";"6";"2226452400";"682741867";"1543710533"
"2002";"7";"2244532617";"811047619";"1433484998"
"2002";"8";"2176772870";"762015248";"1414757622"
"2002";"9";"2296652424";"719036240";"1577616184"
"2002";"10";"2258078685";"875887994";"1382190691"
"2002";"11";"2160459019";"808925851";"1351533168"
"2002";"12";"2024339229";"784885921";"1239453308"
"2003";"1";"2194600115";"798965113";"1395635002"
"2003";"2";"2128348099";"776897236";"1351450863"
"2003";"3";"2252140654";"933671292";"1318469362"
"2003";"4";"2458771586";"1109900313";"1348871273"
"2003";"5";"3122970139";"1085073495";"2037896644"
"2003";"6";"2874302247";"1149080471";"1725221776"
"2003";"7";"2835561342";"1259782508";"1575778834"
"2003";"8";"2346896698";"1135068814";"1211827884"
"2003";"9";"2368509313";"1318223550";"1050285763"
"2003";"10";"2441194198";"1439599106";"1001595092"
"2003";"11";"2453730904";"1336225802";"1117505102"
"2003";"12";"2461727320";"1508286436";"953440884"
"2004";"1";"2322450679";"1608575067";"713875612"
"2004";"2";"2395035139";"1363731431";"1031303708"
"2004";"3";"2657573743";"1690058163";"967515580"
"2004";"4";"3039747864";"1650876869";"1388870995"
"2004";"5";"3394395773";"1792157340";"1602238433"
"2004";"6";"2950695035";"2039339799";"911355236"
"2004";"7";"3034288112";"1969827469";"1064460643"
"2004";"8";"2944953517";"2031629332";"913324185"
"2004";"9";"3001937097";"2025221298";"976715799"
"2004";"10";"2830652208";"1972500710";"858151498"
"2004";"11";"3041861773";"2192617922";"849243851"
"2004";"12";"2962142762";"2108745995";"853396767"
"2005";"1";"2781099868";"1900999864";"880100004"
"2005";"2";"2606250022";"1867273891";"738976131"
"2005";"3";"3054428236";"2197553620";"856874616"
"2005";"4";"3560850374";"2379900007";"1180950367"
"2005";"5";"3695282649";"2475952105";"1219330544"
"2005";"6";"3450187380";"2723600913";"726586467"
"2005";"7";"3600994777";"2349020478";"1251974299"
"2005";"8";"3837358470";"2625653450";"1211705020"
"2005";"9";"3482922238";"2468069187";"1014853051"
"2005";"10";"3398849675";"2502662129";"896187546"
"2005";"11";"3273899668";"2701111326";"572788342"
"2005";"12";"3644560526";"2494919323";"1149641203"
"2006";"1";"3187525144";"2323623634";"863901510"
"2006";"2";"3089941633";"2326024715";"763916918"
"2006";"3";"3647984235";"2722090680";"925893555"
"2006";"4";"3925334723";"2545452723";"1379882000"
"2006";"5";"4181278357";"2825912310";"1355366047"
"2006";"6";"3847772098";"2859164174";"988607924"
"2006";"7";"3816856355";"2852351234";"964505121"
"2006";"8";"4246157920";"3280777791";"965380129"
"2006";"9";"4048101263";"3169412045";"878689218"
"2006";"10";"4203727754";"3255098504";"948629250"
"2006";"11";"4110074185";"3237214383";"872859802"
"2006";"12";"4241367464";"2756379435";"1484988029"
"2007";"1";"3389543360";"2951026758";"438516602"
"2007";"2";"3587331701";"2790766781";"796564920"
"2007";"3";"4172578886";"3422094591";"750484295"
"2007";"4";"4298548694";"3060883796";"1237664898"
"2007";"5";"4855837834";"3542100294";"1313737540"
"2007";"6";"4521086626";"3578923392";"942163234"
"2007";"7";"4614240293";"4125792368";"488447925"
"2007";"8";"4921633703";"4606379904";"315253799"
"2007";"9";"4827801809";"3963045676";"864756133"
"2007";"10";"5580772285";"4400461357";"1180310928"
"2007";"11";"5424206363";"4384483245";"1039723118"
"2007";"12";"5786642214";"3881318319";"1905323895"
"2008";"1";"5818321876";"4478510458";"1339811418"
"2008";"2";"5225651253";"4209761275";"1015889978"
"2008";"3";"4990837903";"4163381882";"827456021"
"2008";"4";"5845649122";"4929557241";"916091881"
"2008";"5";"6240281504";"5200448796";"1039832708"
"2008";"6";"5407024782";"5195976271";"211048511"
"2008";"7";"7010510975";"6046810389";"963700586"
"2008";"8";"7366692882";"5158731450";"2207961432"
"2008";"9";"6918718174";"5310878793";"1607839381"
"2008";"10";"6061185095";"5128941813";"932243282"
"2008";"11";"4902917682";"4182277553";"720640129"
"2008";"12";"4230963823";"3456986643";"773977180"
"2009";"1";"3714716096";"2760051207";"954664889"
"2009";"2";"3944756935";"2663259554";"1281497381"
"2009";"3";"4263700699";"2888341592";"1375359107"
"2009";"4";"5052290262";"2776607259";"2275683003"
"2009";"5";"5203356481";"2659991426";"2543365055"
"2009";"6";"5211295339";"3618913029";"1592382310"
"2009";"7";"4924709233";"3588898329";"1335810904"
"2009";"8";"4351902057";"3255170435";"1096731622"
"2009";"9";"4530716054";"3665901916";"864814138"
"2009";"10";"4807719800";"3656221794";"1151498006"
"2009";"11";"4872376921";"3651170295";"1221206626"
"2009";"12";"4794478085";"3601567912";"1192910173"
"2010";"1";"4408151839";"3209178783";"1198973056"
"2010";"2";"3958942429";"3455057184";"503885245"
"2010";"3";"4687488666";"4402838597";"284650069"
"2010";"4";"6208015193";"4100990533";"2107024660"
"2010";"5";"6502816104";"4575363570";"1927452534"
"2010";"6";"6369256117";"5151009380";"1218246737"
"2010";"7";"5983797356";"5290488865";"693308491"
"2010";"8";"6382982750";"5355462026";"1027520724"
"2010";"9";"6374977051";"5336927937";"1038049114"
"2010";"10";"5898591247";"4950849642";"947741605"
"2010";"11";"5915323462";"5575487724";"339835738"
"2010";"12";"5484026317";"5388739595";"95286722"
"2011";"1";"5185117506";"4889191454";"295926052"
"2011";"2";"5398017228";"4764278184";"633739044"
"2011";"3";"6098102041";"5641577584";"456524457"
"2011";"4";"7042866014";"5532887138";"1509978876"
"2011";"5";"7932871298";"6489819717";"1443051581"
"2011";"6";"7816969457";"6704534806";"1112434651"
"2011";"7";"7225597904";"6858529268";"367068636"
"2011";"8";"8328454715";"7671043720";"657410995"
"2011";"9";"7718191177";"6888497274";"829693903"
"2011";"10";"7435411578";"6302999916";"1132411662"
"2011";"11";"6493159464";"6229740888";"263418576"
"2011";"12";"6306256318";"5987389117";"318867201"
"2012";"1";"5399277218";"5363736840";"35540378"
"2012";"2";"6004523119";"4724970488";"1279552631"
"2012";"3";"6199965749";"5146496373";"1053469376"
"2012";"4";"6714950211";"4769800807";"1945149404"
"2012";"5";"7080822004";"5987087706";"1093734298"
"2012";"6";"6822164808";"6033491319";"788673489"
"2012";"7";"7655108729";"6344863372";"1310245357"
"2012";"8";"7451096908";"6276418284";"1174678624"
"2012";"9";"6803121755";"5854613487";"948508268"
"2012";"10";"6889203263";"6256597377";"632605886"
"2012";"11";"6649420587";"5779456393";"869964194"
"2012";"12";"6312662723";"5436515403";"876147320"
"2013";"1";"5383027831";"5358211498";"24816333"
"2013";"2";"4905868232";"5174735163";"-268866931"
"2013";"3";"6159944925";"5619165672";"540779253"
"2013";"4";"6895385115";"6193443895";"701941220"
"2013";"5";"8393239485";"7028074778";"1365164707"
"2013";"6";"7483387553";"6642792280";"840595273"
"2013";"7";"6930651129";"6988140970";"-57489841"
"2013";"8";"7199531145";"7073884027";"125647118"
"2013";"9";"6544801786";"6028917977";"515883809"
"2013";"10";"6026970737";"6830943788";"-803973051"
"2013";"11";"5089557880";"6091632138";"-1002074258"
"2013";"12";"4950549545";"5411689617";"-461140072"
"2014";"1";"4275296100";"5648613985";"-1373317885"
"2014";"2";"4647727001";"5537441356";"-889714355"
"2014";"3";"4912951795";"5389878367";"-476926572"
"2014";"4";"6478517271";"5656126151";"822391120"
"2014";"5";"7178512550";"5776905611";"1401606939"
"2014";"6";"7203701402";"5847769908";"1355931494"
"2014";"7";"6416908436";"6145071773";"271836663"
"2014";"8";"6419950260";"5644374429";"775575831"
"2014";"9";"5685227010";"5644074234";"41152776"
"2014";"10";"5794032120";"5494265736";"299766384"
"2014";"11";"4889183430";"4650975015";"238208415"
"2014";"12";"4502277984";"4300409404";"201868580"
"2015";"1";"3795979014";"4362691564";"-566712550"
"2015";"2";"3871712336";"4084488493";"-212776157"
"2015";"3";"4381455417";"5058807660";"-677352243"
"2015";"4";"5155266674";"4932935864";"222330810"
"2015";"5";"5205499181";"5002890153";"202609028"
"2015";"6";"6046468818";"5707052057";"339416761"
"2015";"7";"5568888673";"5800562741";"-231674068"
"2015";"8";"5135719284";"5604933243";"-469213959"
"2015";"9";"5161997468";"5487074546";"-325077078"
"2015";"10";"5032952345";"5057986713";"-25034368"
"2015";"11";"3998624197";"4699552101";"-700927904"
"2015";"12";"3429332272";"4403892992";"-974560720"
"2016";"1";"3880889726";"4123259143";"-242369417"
"2016";"2";"4140896455";"4096176888";"44719567"
"2016";"3";"4420844409";"4556321964";"-135477555"
"2016";"4";"4739552432";"4422642478";"316909954"
"2016";"5";"5383426500";"4873567175";"509859325"
"2016";"6";"5304930969";"5046358970";"258571999"
"2016";"7";"5001602681";"4717623011";"283979670"
"2016";"8";"5763764703";"5173678315";"590086388"
"2016";"9";"5049546097";"4741412523";"308133574"
"2016";"10";"4736729089";"4782939791";"-46210702"
"2016";"11";"4837415762";"4723135796";"114279966"
"2016";"12";"4649443384";"4594778166";"54665218"
"2017";"1";"4290755057,94";"4344116346,1";"-53361288,16"
"2017";"2";"3899347734,92";"4117168659,57";"-217820924,65"
"2017";"3";"4564671111,4";"5474983304,66";"-910312193,26"
"2017";"4";"4866629812,28";"4973102455,77";"-106472643,49"
"2017";"5";"5493181634,68";"6064320592,45";"-571138957,77"
"2017";"6";"5158486801,65";"5898148214,69";"-739661413,04"
"2017";"7";"5304083650,55";"6042736144,12";"-738652493,57"
"2017";"8";"5272377195,74";"6316731961,31";"-1044354765,57"
"2017";"9";"5268236857,37";"5968347664,56";"-700110807,19"
"2017";"10";"5280533265,43";"6209134068,15";"-928600802,72"
"2017";"11";"4668009527,33";"6163364678,63";"-1495355151,3"
"2017";"12";"4578420998,7";"5365930590,37";"-787509591,67"
"2018";"1";"4810240381,86";"5743263920,64";"-933023538,78"
"2018";"2";"4304213999,46";"5195980216,67";"-891766217,21"
"2018";"3";"5416664832,44";"5978949641,4";"-562284808,96"
"2018";"4";"5216330941,64";"6105585065,03";"-889254123,39"
"2018";"5";"5163055213,58";"6448000549,65";"-1284945336,07"
"2018";"6";"5133426080,309999";"5461019358,93";"-327593278,62"
"2018";"7";"5414831050,42";"6182401023,98";"-767569973,56"
"2018";"8";"5201810174,96";"6314301003,03";"-1112490828,07"
"2018";"9";"5036808396,82";"4699954629,48";"336853767,34"
"2018";"10";"5398125593,690001";"5073473681,8";"324651911,89"
"2018";"11";"5349607649,34";"4363012179,56";"986595469,78"
"2018";"12";"5336414286,93";"3916873146,04";"1419541140,89"
"2019";"1";"4584792478,89";"4211806806,06";"372985672,83"
"2019";"2";"4447653338,73";"3997937446,12";"449715892,61"
"2019";"3";"5136972013,1";"3956312730,37";"1180659282,73"
"2019";"4";"5337175447,89";"4172281633,26";"1164893814,63"
"2019";"5";"6043689908,49";"4644788721,43";"1398901187,06"
"2019";"6";"5239144933,06";"4171391805,51";"1067753127,55"
"2019";"7";"5855716468,03";"4905297840,78";"950418627,25"
"2019";"8";"5568035635,96";"4400094181,16";"1167941454,8"
"2019";"9";"5746037015,36";"4001941805,05";"1744095210,31"
"2019";"10";"5889092793,66";"4121430240,42";"1767662553,24"
"2019";"11";"5892671210,5";"3408682182,44";"2483989028,06"
"2019";"12";"5374345379,88";"3133064583,35";"2241280796,53"
"2020";"1";"4579468818,29";"3535433846,82";"1044034971,47"
"2020";"2";"4377986233,43";"3191224227,54";"1186762005,89"
"2020";"3";"4382669378,92";"3154187947";"1228481431,92"
"2020";"4";"4349286325,08";"2894419334,64";"1454866990,44"
"2020";"5";"5077748928,48";"3165928248,6";"1911820679,88"
"2020";"6";"4785946706,940001";"3299306998,87";"1486639708,07"
"2020";"7";"4931054588,13";"3450789540,23";"1480265047,9"
"2020";"8";"4954615433,6";"3508213986,43";"1446401447,17"
"2020";"9";"4726500835,28";"4128994107,58";"597506727,7"
"2020";"10";"4674044441,97";"4004440945,13";"669603496,84"
"2020";"11";"4500432655,94";"4114756508,27";"385676147,67"
"2020";"12";"3544068099,58";"3907941187";"-363873087,42"
"2021";"1";"4911999896,89";"3843547388,08";"1068452508,81"
"2021";"2";"4774998994,87";"3712676594,16";"1062322400,71"
"2021";"3";"5719998796,77";"5320171567,68";"399827229,09"
"2021";"4";"6142998699,95";"4672807130,7";"1470191569,25"
"2021";"5";"6812691211,24";"5141001653,31";"1671689557,93"
"2021";"6";"7009853738,19";"5908781472,25";"1101072265,94"
"2021";"7";"7251906933,18";"5715438377,69";"1536468555,49"
"2021";"8";"8098856231,98";"5753643988,37";"2345212243,61"
"2021";"9";"7570189290,44";"5885682051,41";"1684507239,03"
"2021";"10";"6862570097,27";"5247232136,26";"1615337961,01"
"2021";"11";"6191000000,00";"5757000000,00";"11948000000"
"2021";"12";"6191000000,00";"5757000000,00";"12803000000"